label	quallab	value	StdDev	nObs	instrument	methoddesc	formationname
amphibolite lithology in Rubyrock Igneous complex	average  Magnetic_Susceptibility for amphibolite in the Rubyrock Igneous complex	0.00115	0.00108	16	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 16 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00011  SI magnetic susceptibility, max susceptibility is 0.00364  SI magnetic susceptibility"	Rubyrock Igneous complex
amphibolite lithology in Sowchea Succ	average  Magnetic_Susceptibility for amphibolite in the Sowchea Succ	0.00048	0.0002	4	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00028  SI magnetic susceptibility, max susceptibility is 0.00068  SI magnetic susceptibility"	Sowchea Succ
amphibolite lithology in SternCk Phs	average  Magnetic_Susceptibility for amphibolite in the Stern Ck Phs	0.01481	0.03151	14	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 14 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00027  SI magnetic susceptibility, max susceptibility is 0.12000  SI magnetic susceptibility"	Stern Ck Phs
amphibolite lithology in Taltapin MM complex	average  Magnetic_Susceptibility for amphibolite in the Taltapin MM complex	0.01277	0.0215	77	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 77 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00004  SI magnetic susceptibility, max susceptibility is 0.11700  SI magnetic susceptibility"	Taltapin MM complex
andesite lithology in British Columbia	average magnetic susceptibility andesite	0.02294	0.01774	173	SAPPHIRE SI2B MS METER	"average value and standard deviation from 173 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00019 SI magnetic susceptibility, max susceptibility is 0.09300 SI magnetic susceptibility"	
andesite lithology in British Columbia	average magnetic susceptibility andesite	0.00635	0.00898	20	GF INSTRUMENTS SM-20	"average value and standard deviation from 20 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00000 SI magnetic susceptibility, max susceptibility is 0.03223 SI magnetic susceptibility"	
andesite lithology in British Columbia	average density of unaltered andesite	2.72	0.1	42	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 42 observations in the British Columbia Geological Survey Rock Properties Database. All gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min Density for this sample set is 2.52 g/cm3, max density is 2.90 g/cm3"	
andesite lithology in British Columbia	average magnetic susceptibility andesite	0.01448	0.01552	823	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 823 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00000 SI magnetic susceptibility, max susceptibility is 0.11000 SI magnetic susceptibility"	
andesite lithology in Brooks Diorite complex	average  Magnetic_Susceptibility for andesite in the Brooks Diorite complex	0.0183	0.01134	8	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 8 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00329  SI magnetic susceptibility, max susceptibility is 0.03580  SI magnetic susceptibility"	Brooks Diorite complex
andesite lithology in Cheslatta Lake Suite	average  Magnetic_Susceptibility for andesite in the Cheslatta Lake Suite	0.01171	0.01531	16	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 16 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00073  SI magnetic susceptibility, max susceptibility is 0.06590  SI magnetic susceptibility"	Cheslatta Lake Suite
andesite lithology in Co Pley Lake Phs	average  Magnetic_Susceptibility for andesite in the Copley Lake Phs	0.02231	0.02489	4	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00076  SI magnetic susceptibility, max susceptibility is 0.04970  SI magnetic susceptibility"	Copley Lake Phs
andesite lithology in Endako Formation	average  Magnetic_Susceptibility for andesite in the Endako Formation	0.01309	0.01036	170	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 170 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00006  SI magnetic susceptibility, max susceptibility is 0.04090  SI magnetic susceptibility"	Endako Formation
andesite lithology in Endako Formation	average  Magnetic_Susceptibility for andesite in the Endako Formation	0.04856	0.01942	20	SAPPHIRE SI2B MS METER	"average value and standard deviation from 20 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00549  SI magnetic susceptibility, max susceptibility is 0.09300  SI magnetic susceptibility"	Endako Formation
andesite lithology in Endako Formation	average  Density for andesite in the Endako Formation	2.7	0.08	23	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 23 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.52  g/cm3, max susceptibility is 2.84  g/cm3"	Endako Formation
andesite lithology in Endako Formation	average  Magnetic_Susceptibility for andesite in the Endako Formation	0.01331	0.00896	4	GF INSTRUMENTS SM-20	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00080  SI magnetic susceptibility, max susceptibility is 0.02043  SI magnetic susceptibility"	Endako Formation
andesite lithology in Goosly Volcanic	average  Magnetic_Susceptibility for andesite in the Goosly Volcanic	0.01695	0.00934	11	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 11 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00657  SI magnetic susceptibility, max susceptibility is 0.03990  SI magnetic susceptibility"	Goosly Volcanic
andesite lithology in Hazelton Group	average  Magnetic_Susceptibility for andesite in the Hazelton Group	0.0145	0.01805	96	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 96 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00018  SI magnetic susceptibility, max susceptibility is 0.08950  SI magnetic susceptibility"	
andesite lithology in HolyCross Pl	average  Magnetic_Susceptibility for andesite in the Holy Cross Pl	0.03134	0.0257	15	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 15 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00132  SI magnetic susceptibility, max susceptibility is 0.11000  SI magnetic susceptibility"	Holy Cross Pl
andesite lithology in Kasalka Group	average  Magnetic_Susceptibility for andesite in the Kasalka Group	0.01552	0.01456	65	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 65 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00005  SI magnetic susceptibility, max susceptibility is 0.06950  SI magnetic susceptibility"	
andesite lithology in Kasalka Volcanics	average  Magnetic_Susceptibility for andesite in the Kasalka Volcanics	0.0069	0.00829	9	SAPPHIRE SI2B MS METER	"average value and standard deviation from 9 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00046  SI magnetic susceptibility, max susceptibility is 0.02620  SI magnetic susceptibility"	Kasalka Volcanics
andesite lithology in Mcknab Phs	average  Magnetic_Susceptibility for andesite in the Mcknab Phs	0.01129	0.00909	5	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00147  SI magnetic susceptibility, max susceptibility is 0.02530  SI magnetic susceptibility"	Mcknab Phs
andesite lithology in Naglico Formation	average  Magnetic_Susceptibility for andesite in the Naglico Formation	0.01445	0.01998	89	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 89 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00004  SI magnetic susceptibility, max susceptibility is 0.08310  SI magnetic susceptibility"	Naglico Formation
andesite lithology in Nechako Formation	average  Magnetic_Susceptibility for andesite in the Nechako Formation	0.01009	0.01721	16	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 16 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00028  SI magnetic susceptibility, max susceptibility is 0.06270  SI magnetic susceptibility"	Nechako Formation
andesite lithology in Nechako Plateau Group	average  Magnetic_Susceptibility for andesite in the Nechako Plateau Group	0.01544	0.01522	13	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 13 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00002  SI magnetic susceptibility, max susceptibility is 0.04810  SI magnetic susceptibility"	
andesite lithology in Nicola Group	average  Density for andesite in the Nicola Group	2.72	0.12	5	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.57  g/cm3, max susceptibility is 2.82  g/cm3"	
andesite lithology in Ootsa Lake Group	average  Magnetic_Susceptibility for andesite in the Ootsa Lake Group	0.01537	0.01134	102	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 102 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00004  SI magnetic susceptibility, max susceptibility is 0.04540  SI magnetic susceptibility"	
andesite lithology in Powell Creek Volcanic	average  Magnetic_Susceptibility for andesite in the Powell Creek Volc	0.01643	0.01516	31	SAPPHIRE SI2B MS METER	"average value and standard deviation from 31 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00038  SI magnetic susceptibility, max susceptibility is 0.05520  SI magnetic susceptibility"	Powell Creek Volc
andesite lithology in Silverquick/Powell Creek	average  Magnetic_Susceptibility for andesite in the Silverquick/Powell Creek	0.01652	0.00965	5	SAPPHIRE SI2B MS METER	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00495  SI magnetic susceptibility, max susceptibility is 0.02870  SI magnetic susceptibility"	Silverquick/Powell Creek
andesite lithology in Skins Lake Pl	average  Magnetic_Susceptibility for andesite in the Skins Lake Pl	0.0021	0.00504	20	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 20 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00010  SI magnetic susceptibility, max susceptibility is 0.02030  SI magnetic susceptibility"	Skins Lake Pl
andesite lithology in Spences Bridge Group	average  Magnetic_Susceptibility for andesite in the Spences Bridge Group	0.02273	0.01161	84	SAPPHIRE SI2B MS METER	"average value and standard deviation from 84 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00019  SI magnetic susceptibility, max susceptibility is 0.06130  SI magnetic susceptibility"	
andesite lithology in Spences Bridge Group	average  Magnetic_Susceptibility for andesite in the Spences Bridge Group	0.0141	0.01149	9	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 9 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00035  SI magnetic susceptibility, max susceptibility is 0.02830  SI magnetic susceptibility"	
andesite lithology in SternCk Phs	average  Magnetic_Susceptibility for andesite in the Stern Ck Phs	0.01827	0.02998	6	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 6 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00150  SI magnetic susceptibility, max susceptibility is 0.07890  SI magnetic susceptibility"	Stern Ck Phs
andesite lithology in Taylor Creek	average  Magnetic_Susceptibility for andesite in the Taylor Creek	0.00101	0.00097	7	SAPPHIRE SI2B MS METER	"average value and standard deviation from 7 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00034  SI magnetic susceptibility, max susceptibility is 0.00294  SI magnetic susceptibility"	Taylor Creek
andesite lithology in Thuya Batholith	average  Magnetic_Susceptibility for andesite in the Thuya Batholith	0.00015	0.0003	4	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00000  SI magnetic susceptibility, max susceptibility is 0.00059  SI magnetic susceptibility"	Thuya Batholith
aplite lithology in British Columbia	average magnetic susceptibility aplite	0.00377	0.00689	16	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 16 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is -0.00001 SI magnetic susceptibility, max susceptibility is 0.02680 SI magnetic susceptibility"	
aplite lithology in Ootsa Lake Group	average  Magnetic_Susceptibility for aplite in the Ootsa Lake Group	0.0017	0.00192	4	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is -0.00001  SI magnetic susceptibility, max susceptibility is 0.00354  SI magnetic susceptibility"	
arenite lithology in Akolkolex Formation of Lardeau Group	average  Magnetic_Susceptibility for arenite in the Akolkolex Formation of the Lardeau Group	0.00013	0.00008	8	GF INSTRUMENTS SM-20	"average value and standard deviation from 8 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00003  SI magnetic susceptibility, max susceptibility is 0.00027  SI magnetic susceptibility"	Akolkolex Formation
arenite lithology in British Columbia	average magnetic susceptibility arenite	0.01116	0.02607	10	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 10 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is -0.00005 SI magnetic susceptibility, max susceptibility is 0.08090 SI magnetic susceptibility"	
arenite lithology in British Columbia	average density of unaltered arenite	2.71	0.17	14	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 14 observations in the British Columbia Geological Survey Rock Properties Database. All gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min Density for this sample set is 2.31 g/cm3, max density is 2.93 g/cm3"	
arenite lithology in British Columbia	average magnetic susceptibility arenite	0.00046	0.00046	3	SAPPHIRE SI2B MS METER	"average value and standard deviation from 3 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00000 SI magnetic susceptibility, max susceptibility is 0.00092 SI magnetic susceptibility"	
arenite lithology in British Columbia	average magnetic susceptibility arenite	0.00018	0.00019	41	GF INSTRUMENTS SM-20	"average value and standard deviation from 41 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00001 SI magnetic susceptibility, max susceptibility is 0.00099 SI magnetic susceptibility"	
arenite lithology in Entiako Formation of Hazelton Group	average  Magnetic_Susceptibility for arenite in the Entiako Formation of the Hazelton Group	0.00027	0.00014	4	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00007  SI magnetic susceptibility, max susceptibility is 0.00034  SI magnetic susceptibility"	Entiako Formation
arenite lithology in Hamill Group	average  Magnetic_Susceptibility for arenite in the Hamill Group	0.00016	0.00012	5	GF INSTRUMENTS SM-20	"average value and standard deviation from 5 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00005  SI magnetic susceptibility, max susceptibility is 0.00035  SI magnetic susceptibility"	
arenite lithology in Horsetheif Creek Group	average  Magnetic_Susceptibility for arenite in the Horsetheif Creek Group	0.0001	0.0001	7	GF INSTRUMENTS SM-20	"average value and standard deviation from 7 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00001  SI magnetic susceptibility, max susceptibility is 0.00028  SI magnetic susceptibility"	
arenite lithology in Index Formation of Lardeau Group	average  Magnetic_Susceptibility for arenite in the Index Formation of the Lardeau Group	0.00013	0.0001	14	GF INSTRUMENTS SM-20	"average value and standard deviation from 14 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00003  SI magnetic susceptibility, max susceptibility is 0.00034  SI magnetic susceptibility"	Index Formation
arenite lithology in Nicola Group	average  Density for arenite in the Nicola Group	2.85	0.09	4	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 4 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.72  g/cm3, max susceptibility is 2.92  g/cm3"	
